ResponseId,MainBranch,Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,WorkExp,Industry,ConvertedCompYearly
73,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,1,Data scientist or machine learning specialist,100 to 499 employees,Pakistan,3,Software Development,7322
380,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,6,Data scientist or machine learning specialist,20 to 99 employees,Turkey,7,Computer Systems Design and Services,91295
390,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,7,7,Student,10 to 19 employees,United States of America,8,"Transportation, or Supply Chain",110000
393,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",32,18,Engineering manager,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,18,Retail and Consumer Services,161044
399,I am a developer by profession,45-54 years old,Remote,Some college/university study without earning a degree,38,30,"Developer, full-stack","1,000 to 4,999 employees",United States of America,30,Healthcare,195000
416,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,16,"Developer, full-stack",20 to 99 employees,Greece,16,Software Development,79481
417,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,17,"Developer, back-end",100 to 499 employees,Brazil,17,Other:,170000
418,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,1,Academic researcher,10 to 19 employees,Germany,1,Higher Education,29000
424,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,6,4,"Developer, full-stack",100 to 499 employees,Italy,4,Healthcare,66592
425,I am a developer by profession,55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40,30,"Developer, full-stack",20 to 99 employees,Germany,30,Other:,85925
426,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,15,"Developer, front-end",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,15,Software Development,124840
427,I am a developer by profession,18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,4,"Developer, embedded applications or devices","1,000 to 4,999 employees",Ukraine,4,Software Development,50000
429,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,11,"Engineer, site reliability",100 to 499 employees,United States of America,15,Software Development,230000
432,I am a developer by profession,35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,23,"Developer, full-stack",20 to 99 employees,United States of America,25,Retail and Consumer Services,85000
433,I am a developer by profession,35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,18,"Developer, full-stack",10 to 19 employees,United States of America,20,Software Development,160000
444,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,17,Other (please specify):,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,20,Other:,161783
445,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,"Developer, mobile",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,10,Software Development,146496
447,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,10,"Developer, full-stack",10 to 19 employees,Germany,10,Software Development,69814
448,I am a developer by profession,45-54 years old,In-person,"Associate degree (A.A., A.S., etc.)",10,10,"Developer, full-stack",100 to 499 employees,United States of America,10,Other:,115000
452,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,11,9,"Developer, full-stack",100 to 499 employees,South Africa,11,Software Development,64570
457,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",28,18,"Developer, back-end","1,000 to 4,999 employees",United States of America,28,Software Development,300000
459,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,11,"Developer, back-end","10,000 or more employees",Czech Republic,11,Software Development,52122
460,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,8,"Developer, back-end",2 to 9 employees,France,8,Software Development,54777
462,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,24,"Developer, game or graphics","10,000 or more employees",Canada,24,Software Development,254425
465,I am a developer by profession,35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28,15,"Developer, embedded applications or devices",100 to 499 employees,Germany,15,Software Development,27926
466,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,37,27,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Italy,25,Software Development,107406
468,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,12,12,"Developer, front-end",100 to 499 employees,Brazil,12,Manufacturing,37297
469,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,NA,100 to 499 employees,Germany,10,Other:,85925
470,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,26,"Developer, QA or test","10,000 or more employees",United States of America,23,Retail and Consumer Services,140000
473,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,9,"Developer, full-stack",10 to 19 employees,"Iran, Islamic Republic of...",9,Software Development,213840
478,I am a developer by profession,55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47,40,"Developer, back-end",I don’t know,United States of America,40,Software Development,200000
486,I am a developer by profession,25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",6,4,"Developer, full-stack","10,000 or more employees",United States of America,4,"Internet, Telecomm or Information Services",93000
489,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,14,"Developer, front-end","1,000 to 4,999 employees",Russian Federation,14,"Internet, Telecomm or Information Services",67227
490,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,"Developer, front-end","10,000 or more employees",Germany,10,"Transportation, or Supply Chain",144998
492,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,18,16,"Developer, full-stack",2 to 9 employees,France,18,Retail and Consumer Services,59073
493,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36,17,"Developer, full-stack","1,000 to 4,999 employees",Canada,17,Healthcare,119943
497,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19,9,Academic researcher,10 to 19 employees,United States of America,12,Other:,100000
498,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,Data or business analyst,"5,000 to 9,999 employees",Dominican Republic,10,Government,14142
499,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,22,"Developer, full-stack","1,000 to 4,999 employees",United States of America,24,Government,102000
502,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,1,"Developer, back-end",10 to 19 employees,Ukraine,1,Software Development,650
516,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,1,System administrator,100 to 499 employees,United States of America,17,Software Development,136000
517,I am a developer by profession,55-64 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34,28,"Developer, embedded applications or devices",500 to 999 employees,Italy,27,Manufacturing,48333
522,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,38,25,Engineering manager,2 to 9 employees,France,25,Computer Systems Design and Services,53703
529,I am a developer by profession,45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,20,"Developer, full-stack",20 to 99 employees,United States of America,26,Software Development,175000
530,I am a developer by profession,25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,"Developer, full-stack","10,000 or more employees",United States of America,10,Software Development,650000
531,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,16,"Developer, full-stack","10,000 or more employees",Germany,16,Software Development,85925
